condition,pic_response,trials.thisN,loop_eval_discri.thisN,loop_discri.thisRepN,actual_trial,accuracy,reaction_time,reaction_time_good_a,reaction_time_bad_a,participant,exclude
active,0.5,0.5,1.5625,1.5,16.5625,1.0,,,,sub-007,0
inactive,0.5625,0.5,1.4375,1.5,16.4375,0.9375,,,,sub-007,0
active,0.9375,0.5,1.5625,1.5,16.5625,0.5625,,,,sub-010,0
inactive,0.75,0.5,1.4375,1.5,16.4375,0.75,,,,sub-010,0
active,0.8125,0.5,1.375,1.5,16.375,0.6875,,,,sub-012,0
inactive,0.625,0.5,1.625,1.5,16.625,0.75,,,,sub-012,0
active,0.9375,0.5,1.75,1.5,16.75,0.5625,,,,sub-014,0
inactive,0.7857142857142857,0.5714285714285714,1.2142857142857142,1.3571428571428572,17.071428571428573,0.5714285714285714,,,,sub-014,0
active,0.5333333333333333,0.4666666666666667,1.2666666666666666,1.5333333333333334,15.866666666666667,1.0,,,,sub-016,0
inactive,0.75,0.5,1.625,1.5,16.625,0.75,,,,sub-016,0
active,0.4375,0.5,1.5,1.5,16.5,0.8125,,,,sub-018,0
inactive,0.5625,0.5,1.5,1.5,16.5,0.8125,,,,sub-018,0
active,0.3125,0.5,1.5,1.5,16.5,0.4375,,,,sub-020,0
inactive,0.75,0.5,1.5,1.5,16.5,0.5,,,,sub-020,0
active,0.375,0.5,1.5625,1.5,16.5625,0.875,,,,sub-021,0
inactive,0.375,0.5,1.4375,1.5,16.4375,0.75,,,,sub-021,0
active,0.4375,0.5,1.5,1.5,16.5,0.9375,,,,sub-023,0
inactive,0.5625,0.5,1.5,1.5,16.5,0.8125,,,,sub-023,0
active,0.5,0.5,1.5625,1.5,16.5625,1.0,,,,sub-024,0
inactive,0.4375,0.5,1.4375,1.5,16.4375,0.9375,,,,sub-024,0
active,0.5625,0.5,1.5625,1.5,16.5625,0.9375,,,,sub-025,0
inactive,0.5,0.5,1.4375,1.5,16.4375,0.625,,,,sub-025,0
active,0.4375,0.5,1.375,1.5,16.375,0.6875,,,,sub-026,0
inactive,0.3125,0.5,1.625,1.5,16.625,0.6875,,,,sub-026,0
active,0.5625,0.5,1.375,1.5,16.375,0.9375,,,,sub-027,0
inactive,0.5,0.5,1.625,1.5,16.625,1.0,,,,sub-027,0
active,0.6875,0.5,1.75,1.5,16.75,0.8125,,,,sub-028,0
inactive,0.5,0.5,1.25,1.5,16.25,0.625,,,,sub-028,0
active,0.4375,0.5,1.3125,1.5,16.3125,0.9375,,,,sub-030,0
inactive,0.5,0.5,1.6875,1.5,16.6875,0.875,,,,sub-030,0
active,0.8125,0.5,1.375,1.5,16.375,0.6875,,,,sub-031,0
inactive,0.5625,0.5,1.625,1.5,16.625,0.9375,,,,sub-031,0
active,0.625,0.5,1.3125,1.5,16.3125,0.625,,,,sub-032,0
inactive,0.5625,0.5,1.6875,1.5,16.6875,0.6875,,,,sub-032,0
active,0.625,0.5,1.5,1.5,16.5,0.375,,,,sub-034,0
inactive,0.375,0.5,1.5,1.5,16.5,0.375,,,,sub-034,0
active,0.5,0.5,1.75,1.5,16.75,1.0,,,,sub-035,0
inactive,0.4375,0.5,1.25,1.5,16.25,0.9375,,,,sub-035,0
active,0.4375,0.5,1.6875,1.5,16.6875,0.9375,,,,sub-036,0
inactive,0.5,0.5,1.3125,1.5,16.3125,0.875,,,,sub-036,0
active,0.3125,0.5,1.5625,1.5,16.5625,0.6875,,,,sub-037,0
inactive,0.6875,0.5,1.4375,1.5,16.4375,0.6875,,,,sub-037,0
active,0.375,0.5,1.375,1.5,16.375,0.75,,,,sub-038,0
inactive,0.4375,0.5,1.625,1.5,16.625,0.6875,,,,sub-038,0
active,0.5625,0.5,1.3125,1.5,16.3125,0.8125,,,,sub-040,0
inactive,0.5625,0.5,1.6875,1.5,16.6875,0.8125,,,,sub-040,0
active,0.5625,0.5,1.3125,1.5,16.3125,0.9375,,,,sub-041,0
inactive,0.5,0.5,1.6875,1.5,16.6875,0.875,,,,sub-041,0
active,0.375,0.5,1.625,1.5,16.625,0.5,,,,sub-042,0
inactive,0.875,0.5,1.375,1.5,16.375,0.625,,,,sub-042,0
active,0.375,0.5,1.6875,1.5,16.6875,0.75,,,,sub-043,0
inactive,0.3125,0.5,1.3125,1.5,16.3125,0.5625,,,,sub-043,0
active,0.4,0.4666666666666667,1.4666666666666666,1.6,16.066666666666666,0.8,,,,sub-044,0
inactive,0.375,0.5,1.5625,1.5,16.5625,0.75,,,,sub-044,0
active,0.375,0.5,1.5,1.5,16.5,0.75,,,,sub-045,0
inactive,0.4375,0.5,1.5,1.5,16.5,0.9375,,,,sub-045,0
active,0.6875,0.5,1.5625,1.5,16.5625,0.8125,,,,sub-046,0
inactive,0.5,0.5,1.4375,1.5,16.4375,0.875,,,,sub-046,0
active,0.6875,0.5,1.25,1.5,16.25,0.8125,,,,sub-048,0
inactive,0.5625,0.5,1.75,1.5,16.75,0.9375,,,,sub-048,0
active,0.375,0.5,1.75,1.5,16.75,0.75,,,,sub-049,0
inactive,0.6875,0.5,1.25,1.5,16.25,0.6875,,,,sub-049,0
active,0.375,0.5,1.75,1.5,16.75,0.75,,,,sub-050,0
inactive,0.5,0.5,1.25,1.5,16.25,0.875,,,,sub-050,0
active,0.4375,0.5,1.3125,1.5,16.3125,0.5625,,,,sub-051,0
inactive,0.5,0.5,1.6875,1.5,16.6875,0.625,,,,sub-051,0
