trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,loca_thermode,pic_sent,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,threshold,slope,lowerAsymptote,lapseRate,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,66.71229659999881,,0.010841100000106962,66.69669889999932,66.69744739999987,71.69629219999842,71.69630329999927,71.7124232999995,79.19594599999982,79.19594599999982,81.91265829999975,82.19601949999924,82.19601949999924,82.17989529999977,4.12,3.93,487,393,7.5,3.5,1.2,0.75,0,457,1,n,1.3648776999998518,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
1,0,1,0,82.19601949999924,,,,82.1872117999992,87.17995139999948,87.17996359999961,87.21281029999955,94.69631369999843,94.69631369999843,97.41306009999971,97.7130333999994,97.7130333999994,97.68011789999946,4.01,4.04,476,404,7.5,3.5,1.2,0.75,1,457,0,m,0.4599663999997574,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
2,0,2,0,97.7130333999994,,,,97.68679079999856,102.6965567999996,102.69656779999968,102.72985169999993,110.19668479999928,110.19668479999928,112.93008389999886,113.19676319999962,113.19676319999962,113.18062579999969,4.12,3.93,487,393,7.5,3.5,1.2,0.75,2,462,1,n,0.6804395999988628,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
3,0,3,0,113.19676319999962,,,,113.18577189999996,118.18068399999902,118.18069560000004,118.21355219999896,125.69705499999873,125.69705499999873,128.41376659999878,128.69712679999975,128.69712679999975,128.68099159999838,4.03,4.02,478,401,7.5,3.5,1.2,0.75,3,461,0,m,0.9830627999999706,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
4,0,4,0,128.69712679999975,,,,128.68616289999954,133.6810252999985,133.68103650000012,133.7140228999997,141.19740229999843,141.19740229999843,143.91413920000014,144.19749559999946,144.19749559999946,144.18146969999907,3.79,4.26,454,426,7.5,3.5,1.2,0.75,0,463,1,n,1.142980599999646,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
5,0,5,0,144.19749559999946,,,,144.18662330000006,149.18144229999962,149.18145399999958,149.21428919999926,156.6977756999986,156.6977756999986,159.41449999999895,159.6978457999994,159.6978457999994,159.6817665999988,4.1,3.95,484,395,7.5,3.5,1.2,0.75,1,463,1,n,0.4110233999999764,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
6,0,6,0,159.6978457999994,,,,159.68692959999862,164.68180029999894,164.68181149999873,164.71465809999972,172.19814749999932,172.19814749999932,174.91487479999887,175.198232499999,175.198232499999,175.18212159999894,3.7,4.35,445,434,7.5,3.5,1.2,0.75,2,463,1,n,0.7584671999993589,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
7,0,7,0,175.198232499999,,,,175.1880956999994,180.1821731,180.1821846999992,180.2150103999993,187.69853039999907,187.69853039999907,190.41524149999896,190.69860569999946,190.69860569999946,190.6824824999985,3.95,4.1,470,409,7.5,3.5,1.2,0.75,3,463,0,m,0.5460689000010461,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
8,0,8,0,190.69860569999946,,,,190.68856789999882,195.68257409999933,195.68258609999975,195.71537889999854,203.1988997999997,203.1988997999997,205.91564299999845,206.19897029999993,206.19897029999993,206.1829670999996,3.88,4.17,463,417,7.5,3.5,1.2,0.75,0,464,1,n,0.705612600000677,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
9,0,9,0,206.19897029999993,,,,206.18811409999944,211.18292269999984,211.18293389999963,211.215764999999,218.6992642999994,218.6992642999994,221.41599799999858,221.69931969999925,221.69931969999925,221.68301809999866,3.9,4.15,465,415,7.5,3.5,1.2,0.75,1,464,0,m,1.0570723000000726,None,,,,,,,,,sub-001,COM3,44.7,2024-01-23_13h20.10.284,2024_RDpaindiscrimination_QUEST,2023.2.3,60.004416325052205,2024-01-23 13h20.34.164633 -0500,
