,neutral,z1,z2,z3,z4,z5
0,37.8,37.6,37.6,37.6,37.6,37.6
1,37.8,37.6,37.6,37.6,37.6,37.6
2,37.8,37.7,37.7,37.7,37.7,37.7
3,37.8,38.4,38.3,38.3,38.3,38.3
4,37.8,39.5,39.4,39.4,39.4,39.5
5,37.8,40.6,40.4,40.5,40.5,40.6
6,37.7,41.6,41.4,41.4,41.4,41.5
7,37.7,42.7,42.4,42.4,42.5,42.6
8,37.7,43.7,43.5,43.5,43.5,43.7
9,37.6,44.3,44.1,44.1,44.2,44.3
10,37.6,44.4,44.2,44.2,44.2,44.3
11,37.6,44.3,44.1,44.1,44.2,44.2
12,37.6,44.3,44.2,44.2,44.2,44.3
13,37.6,44.4,44.2,44.2,44.2,44.3
14,37.6,44.3,44.2,44.2,44.2,44.3
15,37.6,44.4,44.2,44.2,44.2,44.3
16,37.6,44.4,44.2,44.2,44.3,44.3
17,37.6,44.4,44.3,44.3,44.3,44.3
18,37.6,44.4,44.3,44.3,44.3,44.3
19,37.6,44.4,44.3,44.3,44.3,44.3
20,37.6,44.4,44.3,44.3,44.3,44.3
21,37.6,44.4,44.3,44.3,44.3,44.4
22,37.6,44.4,44.3,44.3,44.3,44.4
23,37.6,44.4,44.3,44.3,44.3,44.4
24,37.6,44.4,44.3,44.3,44.3,44.4
25,37.7,44.4,44.3,44.3,44.3,44.4
26,37.7,44.4,44.3,44.3,44.3,44.4
27,37.7,44.4,44.3,44.3,44.3,44.4
28,37.7,44.4,44.3,44.3,44.3,44.4
29,37.7,44.4,44.3,44.3,44.3,44.4
30,37.7,44.4,44.3,44.3,44.4,44.4
31,37.7,44.4,44.3,44.3,44.4,44.4
32,37.7,44.4,44.3,44.3,44.4,44.4
33,37.7,44.4,44.3,44.3,44.4,44.4
34,37.7,44.4,44.3,44.3,44.4,44.4
35,37.7,44.4,44.3,44.3,44.4,44.4
36,37.7,44.4,44.3,44.3,44.4,44.4
37,37.7,44.4,44.3,44.3,44.4,44.4
38,37.7,44.4,44.3,44.3,44.4,44.4
39,37.7,44.4,44.3,44.3,44.4,44.4
40,37.7,44.4,44.3,44.3,44.4,44.4
41,37.7,44.4,44.3,44.3,44.4,44.4
42,37.7,44.4,44.4,44.3,44.4,44.4
43,37.7,44.4,44.4,44.3,44.4,44.4
44,37.7,44.4,44.4,44.3,44.4,44.4
45,37.7,44.4,44.4,44.3,44.4,44.4
46,37.7,44.4,44.4,44.3,44.4,44.4
47,37.7,44.7,44.6,44.6,44.7,44.7
48,37.7,45.7,45.4,45.5,45.5,45.7
49,37.7,46.2,46.0,46.0,46.1,46.2
50,37.7,46.0,45.9,45.9,45.9,45.9
51,37.7,45.8,45.8,45.8,45.8,45.9
52,37.7,46.0,45.9,45.9,45.9,46.1
53,37.7,46.0,45.9,45.9,45.9,46.0
54,37.7,45.9,45.9,45.9,45.9,45.9
55,37.7,46.0,45.9,45.9,45.9,46.0
56,37.7,46.0,45.9,45.9,45.9,46.0
57,37.7,45.6,45.6,45.6,45.6,45.6
58,37.7,44.7,44.8,44.8,44.8,44.7
59,37.8,44.2,44.3,44.3,44.2,44.2
60,37.8,44.4,44.3,44.3,44.3,44.4
61,37.8,44.5,44.4,44.4,44.5,44.5
62,37.8,44.4,44.4,44.4,44.4,44.4
63,37.8,44.4,44.4,44.4,44.4,44.4
64,37.8,44.5,44.4,44.4,44.4,44.5
65,37.8,44.4,44.4,44.4,44.4,44.4
66,37.8,44.4,44.4,44.4,44.4,44.4
67,37.8,44.5,44.4,44.4,44.4,44.5
68,37.8,44.4,44.4,44.4,44.4,44.5
69,37.8,44.4,44.4,44.4,44.4,44.5
70,37.8,44.4,44.4,44.4,44.4,44.5
71,37.8,44.4,44.4,44.4,44.4,44.5
72,37.8,44.4,44.4,44.4,44.4,44.5
73,37.8,44.4,44.4,44.4,44.4,44.5
74,37.8,44.4,44.4,44.4,44.4,44.5
75,37.8,44.4,44.4,44.4,44.4,44.5
76,37.8,44.4,44.4,44.4,44.4,44.5
77,37.8,44.4,44.4,44.4,44.4,44.5
78,37.8,44.4,44.4,44.4,44.4,44.5
79,37.8,44.4,44.4,44.4,44.4,44.5
80,37.8,44.4,44.4,44.4,44.4,44.5
81,37.8,44.5,44.4,44.4,44.4,44.5
82,37.8,44.5,44.5,44.4,44.5,44.5
83,37.8,44.5,44.5,44.5,44.5,44.5
84,37.8,44.5,44.5,44.5,44.5,44.5
85,37.8,44.5,44.5,44.5,44.5,44.5
86,37.8,44.5,44.5,44.5,44.5,44.5
87,37.8,44.5,44.5,44.5,44.5,44.5
88,37.8,44.5,44.4,44.2,44.4,44.5
89,37.8,44.5,44.3,44.1,44.3,44.5
90,37.8,44.5,44.1,44.1,44.1,44.5
91,37.8,44.5,44.0,44.1,44.0,44.5
92,37.8,44.5,44.1,44.1,44.1,44.3
93,37.8,44.4,44.1,44.1,44.1,44.3
94,37.8,44.3,44.1,44.2,44.1,44.2
95,37.7,44.3,44.2,44.2,44.1,44.2
96,37.7,44.3,44.2,44.2,44.2,44.1
97,37.7,44.3,44.2,44.2,44.2,44.1
98,37.7,44.1,44.0,44.0,44.0,43.9
99,37.7,41.6,41.9,41.9,41.8,41.5
100,37.9,37.5,38.2,38.2,38.1,37.6
101,38.0,37.0,37.1,37.2,37.1,37.1
102,38.0,38.3,38.1,38.1,38.1,38.2
103,38.1,38.0,38.3,38.3,38.3,38.1
104,38.1,37.4,38.0,38.0,37.9,37.5
