trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,percu_or.stopped,responser.stopped,thermode_locali_pic.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.1598833000171,,0.008205600024666637,70.61063850001665,70.61138130002655,74.96067160001257,74.9606912000163,78.14412800001446,78.14473610001733,83.14391360001173,83.14392620002036,83.17671080000582,93.16024820000166,0,active,45.9,93.16026170001714,105.53011780002271,3.500000000000058,12.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,105.56052560001262,,,,,,,,105.53206600001431,110.54401460001827,110.54402500001015,110.56061200000113,120.5442391000106,1,inactive,45.9,120.54425289999926,124.96409080000012,37.50000000000008,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,124.99441150002531,,,,,,,,124.96581410002545,129.97779730000184,129.97780810002587,129.99440520000644,139.97803680002107,2,active,45.9,139.97805040000821,145.4799081000092,4.000000000000164,5.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,145.49477879999904,,,,,,,,145.4811091000156,150.47873250002158,150.47874570000567,150.4948780000268,160.4794623000198,3,active,45.9,160.47947640001075,166.64682220001123,13.500000000000208,6.097,160.56180750002386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,166.66193850000855,,,,,,,,166.64740510002594,171.64593360002618,171.64594490002492,171.6620380000095,181.64650590001838,0,inactive,45.9,181.646519300004,185.29867580000428,33.499999999999986,3.582,181.7289619000221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,185.32914900002652,,,,,,,,185.30039879999822,190.31253770002513,190.31254850002006,190.32913580001332,200.31277780001983,1,active,45.9,200.31279180001002,205.01611930000945,13.00000000000017,4.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,205.04618230002234,,,,,,,,205.0178563000227,210.02966650002054,210.02967760001775,210.04626140001346,220.0299059000099,2,inactive,45.9,220.02992010000162,224.41747960000066,45.00000000000006,4.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,224.44670150001184,,,,,,,,224.4192238000105,229.4301206000091,229.4301317000063,229.4467202000087,239.43063870002516,3,active,45.9,239.43067810000503,242.51606210001046,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,242.54706860001897,,,,,,,,242.51780420000432,247.53055799999856,247.53056910002488,247.54712150001433,257.5307815000124,0,inactive,45.9,257.53079499999876,261.88391010000487,21.500000000000206,4.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,261.89747050000005,,,,,,,,261.8844952000072,266.88160100000096,266.8816122999997,266.8976099000138,276.882093799999,1,active,45.9,276.88210730001447,282.4182756000082,15.00000000000021,5.466,276.9645113000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,282.4479784000141,,,,,,,,282.42002370001865,287.4314830000221,287.43149430002086,287.4480866000231,297.4317102000059,2,inactive,45.9,297.43172430002596,301.16825400001835,42.99999999999993,3.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,301.1984332000138,,,,,,,,301.1700065000041,306.1819024000142,306.1819128000061,306.19850759999827,316.18212660000427,3,inactive,45.9,316.1821412999998,319.86853410000913,42.5000000000001,3.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,45.9,43.6,46.7,COM3,2024-01-25_11h16.10.782,2024_RDpaindiscrimination_maintask,2023.2.3,59.9783598070889,2024-01-25 11h16.39.381875 -0500,
