trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,thermode_locali.stopped,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,percu_or.stopped,responser.stopped,thermode_locali_pic.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,77.34299210002064,,0.008037300023715943,73.79386460001115,73.79460640001344,75.14410960001987,75.14412460001768,77.32723910000641,77.32785240001976,82.32694580001407,82.32695770001737,82.34312450001016,92.42667210000218,92.32767769999919,0,active,46.5,92.32769180001924,94.38008860000991,2.5000000000000226,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,94.4101101999986,,,,,,,,94.38205060001928,99.3935644000012,99.39357510002446,99.41015840001637,,109.39376289999927,1,inactive,46.5,109.39377670001704,111.69685590002337,43.99999999999992,2.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,111.72724460001336,,,,,,,,111.69861110000056,116.71062830000301,116.71063870002399,116.72722490000888,,126.71084760001395,2,inactive,46.5,126.71086200000718,129.03023950001807,57.49999999999997,2.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,129.06098200002452,,,,,,,,129.0319610000006,134.04436100000748,134.0443716000009,134.06097400002182,,144.0445532000158,3,active,46.5,144.04456700000446,146.24788410001202,35.50000000000005,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,146.2612771000131,,,,,,,,146.2488127000106,151.24529290001374,151.2453041000117,151.26147080000374,161.32826830001432,161.24591590001364,0,inactive,46.5,161.24593010000535,163.21450160001405,47.49999999999997,1.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,163.24497170001268,,,,,,,,163.21629480001866,168.2284962000267,168.2285068000201,168.24507580001955,,178.22869920000085,1,inactive,46.5,178.22871300001862,180.7262171000184,63.99999999999992,2.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,180.74537830002373,,,,,,,,180.72685270002694,185.72887510000146,185.72888720000628,185.7454934999987,,195.72911450001993,2,active,46.5,195.72912870001164,197.54770900000585,24.499999999999986,1.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,197.56243879999965,,,,,,,,197.54832120001083,202.5463811000227,202.54639290002524,202.56255030000466,212.62944870002684,212.54711000001407,3,active,46.5,212.54712420000578,214.29965610001818,32.000000000000064,1.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,214.32965160001186,,,,,,,,214.3014097000123,219.31301270000404,219.313023900002,219.32959750000737,,229.31320880001294,0,inactive,46.5,229.31322250000085,231.66458880002028,47.99999999999997,2.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,231.679889800027,,,,,,,,231.6651766000141,236.66391830000794,236.66392970000743,236.6801405000151,246.74690620001638,246.66454300002079,1,active,46.5,246.66455730001326,248.26642900001025,23.500000000000057,1.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,46.5,45.1,47.5,COM3,2024-01-25_12h30.50.920,2024_RDpaindiscrimination_maintask,2023.2.3,59.98213731616594,2024-01-25 12h31.16.601839 -0500,
