trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,threshold,pic_a_utiliser,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,75.26356500000111,,0.011830100000224775,75.2478329000005,75.24859460000152,80.2475703,80.24758320000001,80.2636892999999,87.74721350000073,87.74721350000073,90.4639369000015,90.74725810000018,90.74725810000018,90.73113340000054,3.71,5.09,371,509,7.5,3.5,1.2,0.75,445,0,453,0.8,1,m,0.9642975000006118,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
1,0,1,0,90.74725810000018,,,,90.734279100001,95.73130670000137,95.73131850000027,95.74740830000155,103.2475617,103.2475617,105.94764790000045,106.2476585000004,106.2476585000004,106.23161470000014,3.78,5.02,378,501,7.5,3.5,1.2,0.75,445,1,449,0.4,0,n,0.8478578999984165,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
2,0,2,0,106.2476585000004,,,,106.23413130000154,111.23139660000015,111.23140860000058,111.24779450000096,118.7479385000006,118.7479385000006,121.44803180000054,121.74803280000015,121.74803280000015,121.73188370000025,3.66,5.14,366,514,7.5,3.5,1.2,0.75,445,2,452,0.7,0,n,1.15484269999979,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
3,0,3,0,121.74803280000015,,,,121.73436170000059,126.73197609999988,126.73198870000124,126.74816240000109,134.24833840000065,134.24833840000065,136.94839200000024,137.24841920000108,137.24841920000108,137.2322961000009,3.7,5.1,370,509,7.5,3.5,1.2,0.75,445,3,455,1.0,1,m,0.5186081000010745,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
4,0,4,0,137.24841920000108,,,,137.23477980000098,142.2324314000016,142.23244380000142,142.24851920000037,149.74870020000162,149.74870020000162,152.44879250000122,152.74879130000045,152.74879130000045,152.73263100000077,4.02,4.78,401,478,7.5,3.5,1.2,0.75,445,0,455,1.0,1,m,0.4906160999998974,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
5,0,5,0,152.74879130000045,,,,152.73511280000093,157.73279809999985,157.73281010000028,157.74890170000072,165.24909950000074,165.24909950000074,167.94916980000016,168.2491751000016,168.2491751000016,168.23307060000116,3.47,5.33,347,533,7.5,3.5,1.2,0.75,445,1,453,0.8,0,n,0.7502379000015935,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
6,0,6,0,168.2491751000016,,,,168.23556559999997,173.23318319999998,173.23319510000147,173.2492611000016,180.74948500000028,180.74948500000028,183.44953290000012,183.74955340000088,183.74955340000088,183.73341980000077,4.18,4.62,418,462,7.5,3.5,1.2,0.75,445,2,454,0.9,0,n,1.0057483000000502,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
7,0,7,0,183.74955340000088,,,,183.73589090000132,188.73351820000062,188.73352980000163,188.74967540000034,196.24984660000155,196.24984660000155,198.94990890000008,199.2499325000008,199.2499325000008,199.23364330000004,3.48,5.32,348,532,7.5,3.5,1.2,0.75,445,3,455,1.0,1,m,0.6530311000005895,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
8,0,8,0,199.2499325000008,,,,199.2361122000002,204.2339565000002,204.23396870000033,204.25005320000128,211.7502260000001,211.7502260000001,214.4502921000003,214.7502996000003,214.7502996000003,214.73438380000152,3.51,5.29,351,529,7.5,3.5,1.2,0.75,445,0,455,1.0,1,m,0.48851030000150786,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
9,0,9,0,214.7502996000003,,,,214.73684850000063,219.7343466000002,219.7343589000011,219.75040360000094,227.2505839000005,227.2505839000005,229.95069570000123,230.2506828000005,230.2506828000005,230.23464820000117,4.08,4.72,408,472,7.5,3.5,1.2,0.75,445,1,454,0.9,1,m,0.556175899999289,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_10h54.18.125,2024_RDpaindiscrimination_QUEST,2023.2.3,60.008665251532435,2024-01-29 10h54.34.770192 -0500,
