,times,neutral,z1,z2,z3,z4,z5
0,0.11063337326049805,37.7,37.6,37.6,37.6,37.6,37.7
1,0.22325634956359863,37.7,37.6,37.6,37.6,37.6,37.7
2,0.3343961238861084,37.7,37.8,37.8,37.8,37.8,37.9
3,0.4470226764678955,37.7,38.8,38.8,38.8,38.8,39.0
4,0.5580008029937744,37.7,40.5,40.4,40.5,40.5,40.8
5,0.6706240177154541,37.7,42.0,41.9,42.0,42.0,42.3
6,0.7832441329956055,37.6,43.4,43.3,43.4,43.4,43.7
7,0.894874095916748,37.6,45.0,44.8,44.9,44.9,45.3
8,1.0074973106384277,37.5,46.5,46.3,46.4,46.5,46.9
9,1.1191236972808838,37.5,47.6,47.5,47.5,47.6,47.9
10,1.2317471504211426,37.4,47.8,47.7,47.7,47.8,48.2
11,1.3433735370635986,37.4,47.6,47.6,47.6,47.6,48.0
12,1.455993890762329,37.4,47.7,47.6,47.6,47.7,48.0
13,1.5676205158233643,37.4,47.8,47.7,47.7,47.8,48.1
14,1.6792504787445068,37.4,47.7,47.6,47.7,47.7,48.0
15,1.7918739318847656,37.4,47.7,47.7,47.7,47.7,47.9
16,1.903501033782959,37.4,47.8,47.7,47.7,47.8,48.0
17,2.0161237716674805,37.4,47.8,47.7,47.7,47.8,48.0
18,2.1277503967285156,37.4,47.8,47.7,47.7,47.8,48.0
19,2.2403736114501953,37.4,47.8,47.7,47.7,47.8,48.0
20,2.3520002365112305,37.4,47.8,47.7,47.8,47.8,48.0
21,2.4636268615722656,37.5,47.8,47.7,47.8,47.8,48.0
22,2.576261043548584,37.5,47.8,47.7,47.8,47.8,48.0
23,2.687887668609619,37.5,47.8,47.7,47.8,47.8,48.0
24,2.8005075454711914,37.5,47.8,47.8,47.8,47.8,48.0
25,2.912137746810913,37.5,47.8,47.8,47.8,47.8,48.0
26,3.0247609615325928,37.5,47.8,47.8,47.8,47.8,48.0
27,3.136387586593628,37.5,47.8,47.8,47.8,47.8,48.0
28,3.2490108013153076,37.5,47.9,47.8,47.8,47.8,48.0
29,3.3606374263763428,37.6,47.9,47.8,47.8,47.8,48.0
30,3.4718055725097656,37.6,47.9,47.8,47.8,47.8,48.0
31,3.584425449371338,37.6,47.9,47.8,47.8,47.8,48.0
32,3.6963951587677,37.6,47.9,47.8,47.8,47.8,48.0
33,3.80901837348938,37.6,47.9,47.8,47.8,47.8,48.0
34,3.920644998550415,37.6,47.9,47.8,47.8,47.8,48.0
35,4.033264875411987,37.6,47.9,47.8,47.8,47.8,48.0
36,4.144409656524658,37.6,47.9,47.8,47.8,47.8,48.0
37,4.257033109664917,37.6,47.9,47.8,47.8,47.8,48.0
38,4.368989944458008,37.6,47.9,47.8,47.8,47.8,48.0
39,4.481613397598267,37.6,47.9,47.8,47.8,47.9,48.0
40,4.593240022659302,37.6,47.9,47.8,47.9,47.9,48.0
41,4.7058632373809814,37.6,47.9,47.8,47.9,47.9,48.0
42,4.817486763000488,37.6,47.9,47.8,47.9,47.9,48.0
43,4.9301135540008545,37.6,47.9,47.8,47.9,47.9,48.0
44,5.04174017906189,37.6,47.9,47.8,47.9,47.9,48.0
45,5.153366327285767,37.6,47.9,47.8,47.9,47.9,48.0
46,5.2659900188446045,37.6,47.9,47.8,47.9,47.9,48.0
47,5.3776164054870605,37.6,47.9,47.9,47.9,47.9,47.9
48,5.490239858627319,37.6,47.9,47.9,47.9,47.9,47.9
49,5.601866245269775,37.6,47.9,47.9,47.9,47.9,47.9
50,5.714489698410034,37.6,47.9,47.9,47.9,47.9,47.9
51,5.82611608505249,37.6,47.9,47.9,47.9,47.9,47.9
52,5.938739776611328,37.6,47.9,47.9,47.9,47.9,48.0
53,6.050362825393677,37.7,47.9,47.9,47.9,47.9,48.0
54,6.161993026733398,37.7,47.9,47.9,47.9,47.9,48.0
55,6.274616479873657,37.6,47.9,47.9,47.9,47.9,48.0
56,6.386747598648071,37.7,47.9,47.9,47.9,47.9,48.0
57,6.4983744621276855,37.7,47.9,47.9,47.9,47.9,48.0
58,6.610998153686523,37.7,47.9,47.9,47.9,47.9,48.0
59,6.722624778747559,37.7,47.9,47.9,47.9,47.9,48.0
60,6.835247993469238,37.7,47.9,47.9,47.9,47.9,48.0
61,6.946874141693115,37.7,47.9,47.9,47.9,47.9,48.0
62,7.0585010051727295,37.7,47.9,47.9,47.9,47.9,48.0
63,7.171124219894409,37.7,47.9,47.9,47.9,47.9,48.0
64,7.282753229141235,37.7,47.9,47.9,47.9,47.9,48.0
65,7.395374059677124,37.7,47.9,47.9,47.9,47.9,48.0
66,7.507000923156738,37.7,47.9,47.9,47.9,47.9,48.0
67,7.619624137878418,37.7,47.9,47.9,47.9,47.9,48.0
68,7.731250762939453,37.7,47.9,47.9,47.9,47.9,48.0
69,7.842877388000488,37.7,47.9,47.9,47.9,47.9,48.0
70,7.955500841140747,37.7,47.9,47.9,47.9,47.9,48.0
71,8.067124366760254,37.7,47.9,47.9,47.9,47.9,48.0
72,8.179750680923462,37.7,47.9,47.9,47.9,47.9,48.0
73,8.291377544403076,37.7,47.9,47.9,47.9,47.9,48.0
74,8.404000759124756,37.7,47.9,47.9,47.9,47.9,48.0
75,8.515161752700806,37.7,47.9,47.9,47.9,47.9,48.0
76,8.627784967422485,37.7,47.9,47.9,47.9,47.9,48.0
77,8.73941159248352,37.7,47.9,47.9,47.9,47.9,48.0
78,8.851368188858032,37.7,47.9,47.9,47.9,47.9,48.0
79,8.963994979858398,37.7,47.9,47.9,47.9,47.9,48.0
80,9.075621366500854,37.7,47.9,47.9,47.9,47.9,48.0
