trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,44.71993270004168,,0.0027969000511802733,44.70362440001918,44.7039894000045,49.70351630001096,49.70352320000529,49.72002780000912,57.7034492000239,57.7034492000239,59.92013630003203,60.70347890001722,60.70347890001722,60.68698060000315,3.39,5.41,339,541,8,3,1.2,0.75,463,0,471,0.8,1,n,1.3904547999845818,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
1,0,1,0,60.70347890001722,,,,60.6880956000532,65.68704129999969,65.68704760004766,65.70353480003541,73.6869660000084,73.6869660000084,75.90365260001272,76.68714980001096,76.68714980001096,76.67052170005627,3.6,5.2,360,520,8,3,1.2,0.75,463,1,467,0.4,1,n,0.4112889999523759,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
2,0,2,0,76.68714980001096,,,,76.67146380001213,81.67054570000619,81.67055249999976,81.68704720004462,89.67047590005677,89.67047590005677,91.88716800004477,92.67050990002463,92.67050990002463,92.65400150005007,4.61,4.19,461,419,8,3,1.2,0.75,463,2,466,0.3,0,m,0.3275582999922335,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
3,0,3,0,92.67050990002463,,,,92.65494040003978,97.6540617000428,97.65406860003714,97.67056700005196,105.65398930001538,105.65398930001538,107.87068760005059,108.65402510005515,108.65402510005515,108.63794930005679,3.83,4.97,383,497,8,3,1.2,0.75,463,3,469,0.6,1,n,0.3795599000295624,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
4,0,4,0,108.65402510005515,,,,108.63887250004336,113.63757240003906,113.63757890003035,113.65408450004179,121.65431040001567,121.65431040001567,123.85435770003824,124.6543274000287,124.6543274000287,124.63784490001854,4.23,4.57,423,457,8,3,1.2,0.75,463,0,469,0.6,1,n,0.3724921999964863,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
5,0,5,0,124.6543274000287,,,,124.63875480002025,129.6378722000518,129.63787830004003,129.6544260000228,137.63781850005034,137.63781850005034,139.8545076000155,140.63786160002928,140.63786160002928,140.62132720003137,3.58,5.22,358,522,8,3,1.2,0.75,463,1,467,0.39999999999999997,0,m,0.33693579997634515,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
6,0,6,0,140.63786160002928,,,,140.6222826000303,145.62139720004052,145.62140440003714,145.63788080000086,153.6213284000405,153.6213284000405,155.83797380002216,156.62136320001446,156.62136320001446,156.60488130000886,4.64,4.16,463,416,8,3,1.2,0.75,463,2,468,0.5,0,m,0.34424379997653887,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
7,0,7,0,156.62136320001446,,,,156.60583430004772,161.6049117000075,161.60491840000032,161.6214203000418,169.60484140005428,169.60484140005428,171.82152610004414,172.6048866000492,172.6048866000492,172.58835650002584,4.34,4.46,434,446,8,3,1.2,0.75,463,3,469,0.6,0,m,0.3539755999809131,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
8,0,8,0,172.6048866000492,,,,172.58925630000886,177.5884249000228,177.58843150001485,177.6048561000498,185.58835620002355,185.58835620002355,187.80504570004996,188.58838990004733,188.58838990004733,188.57197420002194,3.74,5.06,374,505,8,3,1.2,0.75,463,0,470,0.7,1,n,0.35878509999020025,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
9,0,9,0,188.58838990004733,,,,188.5729145000223,193.5721898000338,193.57219620002434,193.58845200005453,201.57187890005298,201.57187890005298,203.7885663000052,204.57189080002718,204.57189080002718,204.55542760004755,3.46,5.34,346,534,8,3,1.2,0.75,463,1,470,0.7,0,m,0.3709066999726929,None,,,,,,,,sub-011,COM3,46.3,2024-02-02_10h53.02.760,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00243610348505,2024-02-02 10h53.18.501306 -0500,
