,times,neutral,z1,z2,z3,z4,z5
0,0.11162996292114258,37.8,37.6,37.6,37.6,37.6,37.6
1,0.2236037254333496,37.8,37.6,37.6,37.6,37.6,37.6
2,0.3362269401550293,37.8,37.8,37.8,37.8,37.8,37.8
3,0.44785356521606445,37.8,38.6,38.6,38.6,38.6,38.7
4,0.5604770183563232,37.8,40.1,40.0,40.0,40.0,40.3
5,0.6721034049987793,37.7,41.4,41.3,41.4,41.4,41.6
6,0.7847275733947754,37.7,42.6,42.5,42.6,42.6,42.8
7,0.8963494300842285,37.6,43.9,43.8,43.9,43.9,44.2
8,1.0079762935638428,37.6,45.2,45.1,45.2,45.2,45.5
9,1.1206040382385254,37.5,46.0,45.9,46.0,46.0,46.3
10,1.2322301864624023,37.5,46.1,46.0,46.0,46.1,46.3
11,1.344853401184082,37.5,46.0,45.9,45.9,45.9,46.1
12,1.4564800262451172,37.5,46.1,46.0,46.0,46.0,46.2
13,1.569103479385376,37.5,46.1,46.0,46.0,46.0,46.2
14,1.6807301044464111,37.5,46.0,46.0,46.0,46.0,46.1
15,1.7923569679260254,37.5,46.1,46.0,46.0,46.0,46.2
16,1.9044957160949707,37.5,46.1,46.0,46.0,46.1,46.2
17,2.017115592956543,37.5,46.1,46.0,46.0,46.1,46.2
18,2.1281027793884277,37.5,46.1,46.0,46.0,46.1,46.2
19,2.240722894668579,37.5,46.1,46.0,46.1,46.1,46.2
20,2.353349208831787,37.6,46.2,46.1,46.1,46.1,46.3
21,2.4649758338928223,37.6,46.1,46.1,46.1,46.1,46.3
22,2.577599287033081,37.6,46.1,46.1,46.1,46.1,46.3
23,2.689225673675537,37.6,46.1,46.1,46.1,46.1,46.3
24,2.8018462657928467,37.6,46.1,46.1,46.1,46.1,46.3
25,2.91347599029541,37.6,46.1,46.1,46.1,46.1,46.3
26,3.026099443435669,37.6,46.1,46.1,46.1,46.1,46.3
27,3.137725830078125,37.6,46.1,46.1,46.1,46.1,46.3
28,3.2493491172790527,37.6,46.1,46.1,46.1,46.1,46.3
29,3.361975908279419,37.6,46.1,46.1,46.1,46.1,46.3
30,3.473602533340454,37.6,46.1,46.1,46.1,46.1,46.3
31,3.586225748062134,37.7,46.1,46.1,46.1,46.1,46.2
32,3.69785213470459,37.7,46.1,46.1,46.1,46.1,46.3
33,3.8104755878448486,37.7,46.1,46.1,46.1,46.1,46.3
34,3.9221019744873047,37.7,46.1,46.1,46.1,46.1,46.3
35,4.0337255001068115,37.7,46.1,46.1,46.1,46.1,46.2
36,4.145869016647339,37.7,46.1,46.1,46.1,46.1,46.2
37,4.258492469787598,37.7,46.1,46.1,46.1,46.1,46.2
38,4.370118856430054,37.7,46.1,46.1,46.1,46.1,46.2
39,4.482742071151733,37.7,46.1,46.1,46.1,46.1,46.3
40,4.594369173049927,37.7,46.1,46.1,46.1,46.1,46.3
41,4.7069926261901855,37.7,46.1,46.1,46.1,46.1,46.3
42,4.818619012832642,37.7,46.1,46.1,46.1,46.1,46.3
43,4.930245637893677,37.7,46.1,46.1,46.1,46.1,46.3
44,5.042327165603638,37.7,46.1,46.1,46.1,46.1,46.3
45,5.154950380325317,37.7,46.1,46.1,46.1,46.1,46.3
46,5.265937805175781,37.7,46.1,46.1,46.1,46.1,46.3
47,5.378561019897461,37.7,46.1,46.1,46.1,46.1,46.3
48,5.49118447303772,37.7,46.1,46.1,46.1,46.1,46.3
49,5.602810859680176,37.7,46.1,46.1,46.1,46.1,46.3
50,5.715430974960327,37.7,46.1,46.1,46.1,46.1,46.3
51,5.82706093788147,37.7,46.1,46.1,46.1,46.1,46.3
52,5.939684152603149,37.7,46.1,46.1,46.1,46.2,46.3
53,6.051311016082764,37.7,46.1,46.1,46.1,46.2,46.3
54,6.163934230804443,37.7,46.1,46.1,46.1,46.2,46.3
55,6.275561094284058,37.7,46.2,46.1,46.2,46.2,46.3
56,6.386704683303833,37.7,46.2,46.1,46.2,46.2,46.3
57,6.500320911407471,37.7,46.2,46.1,46.2,46.2,46.3
58,6.6113121509552,37.7,46.2,46.1,46.2,46.2,46.3
59,6.723935604095459,37.7,46.2,46.1,46.2,46.2,46.3
60,6.835561752319336,37.7,46.2,46.1,46.2,46.2,46.3
61,6.948185205459595,37.7,46.2,46.1,46.2,46.2,46.3
62,7.05981183052063,37.7,46.2,46.1,46.2,46.2,46.3
63,7.172435283660889,37.7,46.2,46.1,46.2,46.2,46.3
64,7.284061431884766,37.7,46.2,46.1,46.2,46.2,46.3
65,7.395688533782959,37.7,46.2,46.1,46.2,46.2,46.3
66,7.50831151008606,37.7,46.2,46.2,46.2,46.2,46.3
67,7.619938611984253,37.7,46.2,46.2,46.2,46.2,46.3
68,7.732561826705933,37.7,46.2,46.2,46.2,46.2,46.3
69,7.844188451766968,37.7,46.2,46.2,46.2,46.2,46.3
70,7.9568116664886475,37.7,46.2,46.2,46.2,46.2,46.3
71,8.068434953689575,37.7,46.2,46.2,46.2,46.2,46.3
72,8.181061744689941,37.7,46.2,46.2,46.2,46.2,46.3
73,8.292688131332397,37.7,46.2,46.2,46.2,46.2,46.3
74,8.404314994812012,37.7,46.2,46.2,46.2,46.2,46.3
75,8.516935110092163,37.7,46.2,46.2,46.2,46.2,46.3
