,neutral,z1,z2,z3,z4,z5
0,37.7,37.6,37.6,37.6,37.6,37.6
1,37.7,37.6,37.6,37.6,37.6,37.6
2,37.7,37.7,37.7,37.7,37.7,37.7
3,37.7,38.6,38.6,38.6,38.6,38.7
4,37.7,40.1,40.1,40.1,40.1,40.3
5,37.6,41.6,41.5,41.5,41.6,41.7
6,37.6,42.9,42.8,42.8,42.8,43.0
7,37.5,44.3,44.2,44.2,44.2,44.5
8,37.5,45.7,45.6,45.6,45.6,45.9
9,37.4,46.5,46.5,46.5,46.5,46.7
10,37.4,46.6,46.5,46.5,46.6,46.7
11,37.4,46.5,46.4,46.4,46.4,46.6
12,37.4,46.5,46.5,46.5,46.5,46.7
13,37.4,46.6,46.5,46.5,46.5,46.7
14,37.4,46.5,46.5,46.5,46.5,46.7
15,37.4,46.6,46.5,46.5,46.5,46.7
16,37.4,46.6,46.6,46.6,46.6,46.7
17,37.4,46.6,46.6,46.6,46.6,46.7
18,37.4,46.6,46.6,46.6,46.6,46.7
19,37.4,46.6,46.6,46.6,46.6,46.7
20,37.4,46.6,46.6,46.6,46.6,46.7
21,37.4,46.6,46.6,46.6,46.6,46.7
22,37.5,46.6,46.6,46.6,46.6,46.7
23,37.5,46.6,46.6,46.6,46.6,46.7
24,37.5,46.6,46.6,46.6,46.6,46.7
25,37.5,46.6,46.6,46.6,46.6,46.7
26,37.5,46.7,46.6,46.6,46.6,46.7
27,37.5,46.7,46.6,46.6,46.6,46.7
28,37.5,46.7,46.6,46.6,46.6,46.7
29,37.5,46.7,46.6,46.6,46.7,46.7
30,37.5,46.7,46.6,46.7,46.7,46.7
31,37.5,46.7,46.6,46.7,46.7,46.7
32,37.5,46.7,46.6,46.7,46.7,46.7
33,37.5,46.7,46.6,46.7,46.7,46.8
34,37.6,46.7,46.7,46.7,46.7,46.8
35,37.6,46.7,46.7,46.7,46.7,46.8
36,37.6,46.7,46.7,46.7,46.7,46.8
37,37.6,46.7,46.7,46.7,46.7,46.8
38,37.6,46.7,46.7,46.7,46.7,46.8
39,37.6,46.8,46.8,46.8,46.8,46.9
40,37.6,47.4,47.3,47.3,47.3,47.5
41,37.6,47.8,47.8,47.8,47.8,47.9
42,37.6,47.7,47.7,47.7,47.8,47.8
43,37.6,47.6,47.6,47.6,47.7,47.7
44,37.6,47.7,47.7,47.7,47.7,47.8
45,37.6,47.7,47.7,47.7,47.7,47.8
46,37.6,47.7,47.7,47.7,47.7,47.8
47,37.6,47.7,47.7,47.7,47.7,47.8
48,37.6,47.7,47.7,47.7,47.7,47.8
49,37.6,47.6,47.6,47.6,47.6,47.6
50,37.6,47.0,47.0,47.0,47.0,47.0
51,37.6,46.6,46.6,46.6,46.6,46.6
52,37.6,46.7,46.7,46.7,46.7,46.8
53,37.6,46.8,46.8,46.8,46.8,46.9
54,37.6,46.7,46.7,46.7,46.7,46.7
55,37.6,46.7,46.7,46.7,46.7,46.8
56,37.6,46.8,46.8,46.8,46.8,46.9
57,37.6,46.8,46.7,46.8,46.8,46.8
58,37.6,46.7,46.7,46.7,46.7,46.8
59,37.6,46.8,46.7,46.8,46.7,46.8
60,37.6,46.8,46.7,46.8,46.7,46.8
61,37.6,46.8,46.8,46.8,46.7,46.8
62,37.6,46.8,46.8,46.8,46.7,46.8
63,37.6,46.8,46.8,46.8,46.7,46.8
64,37.6,46.8,46.8,46.8,46.7,46.8
65,37.6,46.8,46.8,46.8,46.7,46.8
66,37.6,46.8,46.8,46.8,46.7,46.8
67,37.6,46.8,46.8,46.8,46.7,46.8
68,37.6,46.8,46.8,46.8,46.7,46.8
69,37.6,46.8,46.8,46.8,46.7,46.8
70,37.6,46.8,46.8,46.8,46.7,46.8
71,37.6,46.8,46.8,46.8,46.7,46.8
72,37.6,46.8,46.8,46.8,46.7,46.8
73,37.6,46.8,46.8,46.8,46.7,46.8
74,37.6,46.8,46.8,46.8,46.7,46.8
75,37.6,46.8,46.8,46.8,46.7,46.8
76,37.6,46.8,46.8,46.8,46.7,46.8
77,37.6,46.8,46.8,46.8,46.7,46.8
78,37.6,46.8,46.8,46.8,46.7,46.8
79,37.6,46.8,46.8,46.8,46.7,46.8
80,37.6,46.8,46.8,46.8,46.7,46.8
81,37.6,46.8,46.8,46.8,46.7,46.8
82,37.6,46.8,46.8,46.8,46.7,46.8
83,37.6,46.8,46.8,46.8,46.7,46.8
84,37.6,46.8,46.8,46.8,46.7,46.8
85,37.6,46.8,46.8,46.8,46.7,46.8
86,37.6,46.8,46.8,46.8,46.7,46.8
87,37.6,46.8,46.8,46.8,46.7,46.8
88,37.6,46.8,46.8,46.8,46.7,46.8
89,37.6,46.8,46.8,46.8,46.7,46.8
90,37.6,46.8,46.8,46.8,46.7,46.8
91,37.7,46.8,46.8,46.8,46.7,46.8
92,37.7,46.8,46.8,46.8,46.7,46.8
93,37.7,46.8,46.8,46.8,46.7,46.9
94,37.6,46.8,46.8,46.8,46.8,46.9
95,37.7,46.8,46.8,46.8,46.8,46.9
96,37.7,46.8,46.8,46.8,46.8,46.8
97,37.7,46.8,46.8,46.8,46.8,46.8
98,37.7,46.7,46.7,46.7,46.7,46.8
99,37.7,46.2,46.2,46.2,46.2,46.2
100,37.7,45.0,45.2,45.1,45.1,44.9
101,37.7,43.7,43.9,43.9,43.9,43.5
102,37.8,42.5,42.5,42.5,42.5,42.3
103,37.8,40.9,40.9,40.9,40.9,41.1
104,37.9,39.5,39.5,39.5,39.5,39.6
