trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,threshold,pic_a_utiliser,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,8.235141099999964,,0.018402700000478944,8.219533800000136,8.220262300000286,13.2191655000006,13.21917780000058,13.235275800000636,20.718787100000554,20.718787100000554,23.435520400000314,23.718843900000138,23.718843900000138,23.702828500000578,4.15,4.65,415,465,7.5,3.5,1.2,0.75,469,0,477,0.8,1,n,0.4546354000003703,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
1,0,1,0,23.718843900000138,,,,23.705942399999913,28.70286589999978,28.70287780000035,28.718966100000216,36.219146600000386,36.219146600000386,38.91920730000038,39.219217599999865,39.219217599999865,39.20311320000019,3.77,5.03,377,503,7.5,3.5,1.2,0.75,469,1,473,0.4,0,m,0.4265439000000697,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
2,0,2,0,39.219217599999865,,,,39.20559140000023,44.203170599999794,44.203183499999795,44.21934180000062,51.719558900000266,51.719558900000266,54.41960620000009,54.71968370000013,54.71968370000013,54.703500700000404,3.41,5.39,341,539,7.5,3.5,1.2,0.75,469,2,476,0.7,0,m,0.4938225000005332,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
3,0,3,0,54.71968370000013,,,,54.705955299999914,59.70360340000025,59.7036164000001,59.71973340000022,67.2198970999998,67.2198970999998,69.91996720000043,70.21997370000008,70.21997370000008,70.20388650000041,3.74,5.06,374,505,7.5,3.5,1.2,0.75,469,3,479,1.0,1,n,1.3663077999999587,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
4,0,4,0,70.21997370000008,,,,70.20630160000019,75.20393969999986,75.20395259999987,75.22020659999998,82.72027150000031,82.72027150000031,85.42033989999982,85.72036509999998,85.72036509999998,85.70422860000053,4.13,4.67,413,467,7.5,3.5,1.2,0.75,469,0,479,1.0,1,n,0.5859307999999146,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
5,0,5,0,85.72036509999998,,,,85.70687960000032,90.70437180000044,90.70438389999981,90.72048989999985,98.22062900000037,98.22062900000037,100.92075079999995,101.22074239999984,101.22074239999984,101.20461780000005,3.28,5.52,328,552,7.5,3.5,1.2,0.75,469,1,477,0.8,0,m,0.653041900000062,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
6,0,6,0,101.22074239999984,,,,101.20705150000049,106.2046691000005,106.20468160000019,106.22084720000021,113.72101620000012,113.72101620000012,116.42111280000063,116.72110510000039,116.72110510000039,116.70484490000035,4.21,4.59,421,459,7.5,3.5,1.2,0.75,469,2,478,0.9,1,n,1.3806125999999495,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
7,0,7,0,116.72110510000039,,,,116.70760400000017,121.70513420000043,121.70514700000058,121.7212242000005,129.2214380000005,129.2214380000005,131.9214923999998,132.22148030000062,132.22148030000062,132.20537409999997,4.18,4.62,418,462,7.5,3.5,1.2,0.75,469,3,478,0.9,0,m,0.8362077000001591,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
8,0,8,0,132.22148030000062,,,,132.2077704000003,137.2056403000006,137.20565299999998,137.22158279999985,144.7217867999998,144.7217867999998,147.42186800000036,147.72187630000008,147.72187630000008,147.70581110000057,3.89,4.91,389,491,7.5,3.5,1.2,0.75,469,0,479,1.0,1,n,0.6721797000000151,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
9,0,9,0,147.72187630000008,,,,147.70822810000027,152.7059078000002,152.7059207000002,152.73880139999983,160.22216280000066,160.22216280000066,162.93889540000055,163.22223590000067,163.22223590000067,163.2062138000001,3.85,4.95,385,495,7.5,3.5,1.2,0.75,469,1,479,1.0,0,m,1.0716504000001805,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
10,0,10,0,163.22223590000067,,,,163.20862639999996,168.2062274,168.20623990000058,168.22236090000024,175.7225451000004,175.7225451000004,178.42260930000066,178.72263500000008,178.72263500000008,178.7065117000002,3.7,5.1,370,509,7.5,3.5,1.2,0.75,469,2,479,1,0,m,0.907347800000025,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
11,0,11,0,178.72263500000008,,,,178.70893690000048,183.70656080000026,183.7065733999998,183.7227429000004,191.22290359999988,191.22290359999988,193.92298690000007,194.2229926,194.2229926,194.20697410000048,3.79,5.01,379,501,7.5,3.5,1.2,0.75,469,3,479,1,1,n,0.9265332999993916,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
12,0,12,0,194.2229926,,,,194.20938139999998,199.20692000000054,199.20693260000007,199.22311700000046,206.72332030000052,206.72332030000052,209.42336400000022,209.72337470000002,209.72337470000002,209.70739409999987,3.5,5.3,350,530,7.5,3.5,1.2,0.75,469,0,479,1,1,n,0.6226851999999781,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
13,0,13,0,209.72337470000002,,,,209.70980490000056,214.7074134000004,214.7074260999998,214.72350090000054,222.2236985999998,222.2236985999998,224.92376270000022,225.22377200000028,225.22377200000028,225.2076745000004,4.17,4.63,417,463,7.5,3.5,1.2,0.75,469,1,478,0.9,1,n,0.5501167999991594,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
14,0,14,0,225.22377200000028,,,,225.21008500000062,230.20774690000053,230.20775959999992,230.22387600000002,237.7240810000003,237.7240810000003,240.42414480000025,240.72413599999982,240.72413599999982,240.70810280000023,3.66,5.14,366,514,7.5,3.5,1.2,0.75,469,2,478,0.9,0,m,0.6654647000004843,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
15,0,15,0,240.72413599999982,,,,240.7105222,245.70812920000026,245.70814210000026,245.7242594999998,253.2244215999999,253.2244215999999,255.9245187000006,256.2245118999999,256.2245118999999,256.20843049999985,3.59,5.21,359,521,7.5,3.5,1.2,0.75,469,3,479,1.0,1,n,0.8288093999999546,None,,,,,,,,sub-007,COM3,46.9,2024-01-29_09h36.49.140,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00481238570515,2024-01-29 09h37.03.787760 -0500,
