,neutral,z1,z2,z3,z4,z5
0,37.8,37.6,37.6,37.6,37.6,37.8
1,37.8,37.6,37.6,37.6,37.6,37.8
2,37.8,37.8,37.8,37.8,37.8,38.0
3,37.8,38.8,38.7,38.8,38.9,39.1
4,37.7,40.4,40.2,40.3,40.5,40.8
5,37.7,41.8,41.7,41.7,42.0,42.2
6,37.6,43.1,42.9,43.0,43.3,43.4
7,37.6,44.5,44.3,44.4,44.8,44.9
8,37.5,45.8,45.7,45.7,46.2,46.3
9,37.5,46.6,46.5,46.5,46.9,47.0
10,37.4,46.6,46.5,46.6,46.8,46.9
11,37.4,46.5,46.4,46.4,46.7,46.8
12,37.4,46.6,46.5,46.5,46.8,46.9
13,37.4,46.6,46.5,46.6,46.8,46.9
14,37.4,46.6,46.5,46.5,46.8,46.8
15,37.5,46.6,46.5,46.6,46.8,46.9
16,37.5,46.7,46.6,46.6,46.8,46.9
17,37.5,46.7,46.6,46.6,46.8,46.9
18,37.5,46.7,46.6,46.6,46.8,46.9
19,37.5,46.7,46.6,46.6,46.8,46.9
20,37.5,46.7,46.6,46.6,46.8,46.9
21,37.6,46.7,46.6,46.6,46.8,46.9
22,37.6,46.7,46.6,46.6,46.8,46.9
23,37.6,46.7,46.6,46.7,46.8,46.9
24,37.6,46.7,46.6,46.7,46.8,46.9
25,37.6,46.7,46.6,46.7,46.8,46.9
26,37.6,46.7,46.6,46.7,46.8,46.9
27,37.6,46.7,46.6,46.7,46.8,46.9
28,37.6,46.7,46.7,46.7,46.8,46.9
29,37.6,46.7,46.7,46.7,46.8,46.9
30,37.7,46.7,46.7,46.7,46.8,46.9
31,37.7,46.7,46.7,46.7,46.8,46.9
32,37.7,46.7,46.7,46.7,46.8,46.9
33,37.7,46.7,46.7,46.7,46.8,46.9
34,37.7,46.7,46.7,46.7,46.8,46.9
35,37.7,46.7,46.7,46.7,46.8,46.9
36,37.7,46.7,46.7,46.7,46.8,46.9
37,37.7,46.7,46.7,46.7,46.8,46.9
38,37.7,46.7,46.7,46.7,46.8,46.9
39,37.7,46.7,46.7,46.7,46.8,46.9
40,37.7,46.7,46.7,46.7,46.8,46.9
41,37.7,46.8,46.7,46.7,46.9,46.9
42,37.7,47.2,47.1,47.1,47.3,47.3
43,37.7,47.7,47.7,47.7,47.9,48.0
44,37.7,47.9,47.8,47.8,48.0,48.0
45,37.7,47.7,47.7,47.7,47.7,47.8
46,37.7,47.7,47.7,47.7,47.8,47.9
47,37.7,47.8,47.7,47.8,47.9,48.0
48,37.7,47.8,47.7,47.7,47.8,47.8
49,37.7,47.8,47.7,47.7,47.8,47.8
50,37.7,47.8,47.7,47.8,47.9,47.9
51,37.7,47.7,47.7,47.7,47.8,47.8
52,37.7,47.3,47.3,47.3,47.3,47.3
53,37.7,46.7,46.7,46.7,46.7,46.7
54,37.7,46.7,46.6,46.6,46.7,46.8
55,37.7,46.8,46.8,46.8,46.9,46.9
56,37.7,46.8,46.8,46.8,46.8,46.8
57,37.7,46.8,46.7,46.7,46.8,46.8
58,37.7,46.8,46.8,46.8,46.9,46.9
59,37.7,46.8,46.8,46.8,46.9,46.8
60,37.7,46.8,46.8,46.8,46.8,46.8
61,37.7,46.8,46.8,46.8,46.8,46.9
62,37.7,46.8,46.8,46.8,46.9,46.9
63,37.7,46.8,46.8,46.8,46.8,46.8
64,37.7,46.8,46.8,46.8,46.8,46.8
65,37.7,46.8,46.8,46.8,46.9,46.9
66,37.7,46.8,46.8,46.8,46.8,46.8
67,37.7,46.8,46.8,46.8,46.8,46.8
68,37.7,46.8,46.8,46.8,46.9,46.9
69,37.7,46.8,46.8,46.8,46.9,46.8
70,37.7,46.8,46.8,46.8,46.8,46.8
71,37.7,46.8,46.8,46.8,46.8,46.9
72,37.7,46.8,46.8,46.8,46.8,46.9
73,37.7,46.8,46.8,46.8,46.8,46.9
74,37.7,46.8,46.8,46.8,46.8,46.9
75,37.7,46.8,46.8,46.8,46.8,46.9
76,37.7,46.8,46.8,46.8,46.8,46.9
77,37.7,46.8,46.8,46.8,46.9,46.9
78,37.7,46.8,46.8,46.8,46.9,46.9
79,37.7,46.8,46.8,46.8,46.9,46.9
80,37.7,46.9,46.8,46.8,46.9,46.9
81,37.7,47.0,46.9,46.9,46.9,46.9
82,37.7,47.0,46.9,46.9,46.9,46.9
83,37.7,46.9,46.9,46.9,46.9,46.9
84,37.7,46.9,46.9,46.9,46.9,46.9
85,37.7,46.9,46.9,46.9,46.9,46.9
86,37.8,46.9,46.9,46.9,46.9,46.9
87,37.8,46.9,46.9,46.9,46.9,46.9
88,37.8,46.9,46.9,46.9,46.9,46.9
89,37.8,46.9,46.9,46.9,46.9,46.9
90,37.8,46.9,46.9,46.9,46.9,46.9
91,37.8,46.9,46.9,46.9,46.9,46.9
92,37.8,46.9,46.9,46.9,46.9,46.9
93,37.8,46.9,46.9,46.9,46.9,46.9
94,37.8,46.9,46.9,46.9,46.9,46.9
95,37.8,46.9,46.9,46.9,46.9,46.9
96,37.8,46.9,46.9,46.9,46.9,46.9
97,37.8,46.9,46.9,46.9,46.9,46.9
98,37.8,46.8,46.8,46.8,46.8,46.8
99,37.8,46.1,46.2,46.2,46.1,46.1
100,37.8,44.9,44.9,44.9,44.8,44.8
101,37.9,43.5,43.6,43.5,43.5,43.5
102,37.9,42.2,42.2,42.2,42.2,42.2
103,37.9,40.8,40.8,40.8,40.8,40.8
104,37.9,39.3,39.3,39.4,39.4,39.3
