trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,58.05379300000004,,0.003180000000156724,58.03749319999997,58.03785400000015,63.03735999999981,63.03736630000003,63.05388970000013,71.03723730000002,71.03723730000002,73.25397049999992,74.03723910000008,74.03723910000008,74.02083080000011,4.57,4.23,457,423,8,3,1.2,0.75,435,0,443,0.8,1,m,1.253498799999761,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
1,0,1,0,74.03723910000008,,,,74.0220073999999,79.02085149999994,79.02085859999988,79.03728599999977,87.03737210000008,87.03737210000008,89.23744260000012,90.03739880000012,90.03739880000012,90.0209718000001,3.69,5.11,369,511,8,3,1.2,0.75,435,1,439,0.4,0,n,0.5374870999999075,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
2,0,2,0,90.03739880000012,,,,90.0219020999998,95.02102590000004,95.02103260000013,95.03745600000002,103.02092679999987,103.02092679999987,105.23756109999977,106.02089560000013,106.02089560000013,106.00443309999991,3.73,5.07,373,507,8,3,1.2,0.75,435,2,442,0.7,0,n,0.45342329999994035,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
3,0,3,0,106.02089560000013,,,,106.00539479999998,111.00443649999988,111.00444299999981,111.02095899999995,119.00449780000008,119.00449780000008,121.23780940000006,122.00447489999988,122.00447489999988,121.98806190000005,4.42,4.38,442,438,8,3,1.2,0.75,435,3,445,1.0,1,m,0.36679019999974116,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
4,0,4,0,122.00447489999988,,,,121.98898580000014,126.98801259999982,126.98801849999973,127.00452519999999,134.98794629999975,134.98794629999975,137.20463100000006,137.98796749999974,137.98796749999974,137.97149630000013,3.77,5.03,377,503,8,3,1.2,0.75,435,0,445,1.0,0,n,0.46662770000011733,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
5,0,5,0,137.98796749999974,,,,137.97240920000013,142.97157040000002,142.97157909999987,142.98801439999988,150.97140809999973,150.97140809999973,153.18811529999994,153.97149679999984,153.97149679999984,153.9549708999998,4.51,4.29,451,429,8,3,1.2,0.75,435,1,445,1,1,m,0.37863900000002104,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
6,0,6,0,153.97149679999984,,,,153.95591009999998,158.9550408,158.95504729999993,158.97144819999994,166.9549234000001,166.9549234000001,169.17162009999993,169.95488720000003,169.95488720000003,169.93841509999993,3.31,5.49,331,549,8,3,1.2,0.75,435,2,445,1,0,n,0.43499960000008286,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
7,0,7,0,169.95488720000003,,,,169.9393624999998,174.93852019999986,174.93852669999978,174.95497010000008,182.9383167000001,182.9383167000001,185.1550628,185.93832840000005,185.93832840000005,185.92188989999977,3.41,5.39,341,539,8,3,1.2,0.75,435,3,445,1,0,n,0.34764510000013615,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
8,0,8,0,185.93832840000005,,,,185.92282429999977,190.92191749999984,190.92192449999993,190.93851229999973,198.92187400000012,198.92187400000012,201.13856780000015,201.9219066999999,201.9219066999999,201.90542090000008,4.6,4.2,459,420,8,3,1.2,0.75,435,0,445,1,0,n,0.36166599999978644,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
9,0,9,0,201.9219066999999,,,,201.9063772999998,206.90540539999984,206.90541170000006,206.92192829999976,214.9053684999999,214.9053684999999,217.12202960000013,217.90533959999993,217.90533959999993,217.8889091000001,4.31,4.49,430,449,8,3,1.2,0.75,435,1,445,1,1,m,0.41778160000012576,None,,,,,,,,sub-020,COM3,43.5,2024-02-09_09h53.40.700,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00146403584702,2024-02-09 09h53.54.528468 -0500,
