trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,thermode_locali.stopped,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,tâche_EVA.stopped,thermode_locali_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,111.41634029999841,,0.015335599997342797,6.415684399999009,6.416031499997189,107.00004029999764,107.00004959999933,111.39992699999857,111.4002365999986,116.39991559999908,116.39992319999874,116.41632879999815,128.43307599999753,128.40026339999895,0,inactive,47.3,128.40048229999957,131.18642069999987,34.00000000000002,2.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,131.19999649999954,,,,,,,,131.18735949999973,136.18347589999757,136.18348269999842,136.19987639999817,148.2167421999984,148.1838420999993,1,active,45.7,148.1839850999968,151.5021059999999,15.500000000000103,3.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,151.51675539999997,,,,,,,,151.50294279999798,156.5003316000002,156.50033829999666,156.51682519999667,168.53370129999894,168.5007267000001,2,inactive,47.3,168.50087189999977,170.45320739999806,40.0,1.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,170.46700009999768,,,,,,,,170.4540393999996,175.45048899999892,175.45049559999825,175.4670077999981,187.48379939999722,187.45085610000024,3,active,45.7,187.45100339999772,189.72014819999822,10.000000000000062,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,189.7338146999973,,,,,,,,189.72097439999925,194.71736989999772,194.71737709999798,194.7338667999975,206.7506186999999,206.7177847999992,0,active,45.7,206.71793099999923,210.30404559999806,20.500000000000213,3.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,210.31734499999948,,,,,,,,210.304873699999,215.30090349999955,215.30091049999828,215.31731979999677,227.33416619999844,227.30130869999994,1,inactive,47.3,227.3014547999992,229.90272249999907,76.99999999999987,2.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,229.91755179999745,,,,,,,,229.9034741999967,234.90105019999828,234.90106269999887,234.9175230999972,246.93433339999683,246.9014301999996,2,active,45.7,246.90157559999716,249.97036079999816,24.0000000000002,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,249.98438859999806,,,,,,,,249.97100809999756,254.96787609999956,254.96788229999947,254.98439809999763,267.00119639999684,266.96837049999885,3,inactive,47.3,266.968514199998,269.7197890999996,66.99999999999991,2.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,269.73457529999723,,,,,,,,269.72069740000006,274.7181189999974,274.7181262999984,274.734669999998,286.7514486,286.71857459999956,0,active,45.7,286.7187303999999,288.53706599999714,46.000000000000014,1.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,288.55141509999885,,,,,,,,288.53790949999893,293.5349642999972,293.53497269999934,293.5514648999997,305.56824819999747,305.5353888999998,1,inactive,47.3,305.53553699999975,308.6214853999991,73.49999999999991,3.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,308.6349298999994,,,,,,,,308.6222189,313.61849209999855,313.61849900000016,313.63499949999823,325.6518087999975,325.61892420000004,2,active,45.7,325.6190704999972,327.82010479999735,30.0,2.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,327.83518059999915,,,,,,,,327.82085430000006,332.81869039999947,332.8186977999976,332.8351535999973,344.8519688999986,344.819153299999,3,inactive,47.3,344.8193003999986,346.5870610999991,90.0,1.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,346.6020231000002,,,,,,,,346.58784319999904,351.5855503999992,351.58555729999716,351.6020400999987,363.6188613999984,363.58608059999824,0,inactive,47.3,363.5862352999975,366.78777719999925,73.99999999999989,3.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,366.8021375999997,,,,,,,,366.7885105999994,371.78566859999773,371.78567549999934,371.8021674999982,383.81904179999765,383.78621009999915,1,active,45.7,383.7863604999984,386.37231699999757,40.999999999999936,2.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,386.3857603999968,,,,,,,,386.3731391000001,391.36930819999907,391.3693153999993,391.38573349999933,403.4025111999981,403.36962539999877,2,inactive,47.3,403.36977059999845,406.92226969999683,63.49999999999986,3.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,406.9359695999992,,,,,,,,406.92310059999727,411.9195129999971,411.91952049999963,411.93594649999795,423.952807499998,423.91997929999707,3,active,45.7,423.9201218999988,426.03853179999714,15.500000000000005,2.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,500.18688669999756,,,,,,497.95426419999785,500.1704587999993,,,,,,,0,inactive,47.3,517.1704943999976,518.7722521999967,80.0,1.583,426.039086599998,426.0528213999969,497.9539012999994,500.17075789999944,505.17045589999907,505.17046349999873,505.18695169999773,517.1704856999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,518.7869756999971,,,,,,,,,,,,,,1,active,47.3,535.7710998000002,539.3067496999975,73.99999999999984,3.516,,,,518.7725309999987,523.7706486999996,523.7706558999998,523.7870631999976,535.7710917999975,535.8039461999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,542.8040138999968,,,,,,,,,,,,,,2,inactive,,,,,,,,,,,,,,,539.3073211999981,542.7876144999973,542.7879343999994,547.7875745999991,547.7875828999968,547.8040327999988,555.7874797999975,555.7874797999975,558.7541803999993,558.7875243999988,558.7875243999988,558.7710232999998,3.71,5.09,371,509,8,1.2,0.75,pic-present,1,n,0.7182936999997764,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,558.7875243999988,,,,,,,,,,,,,,3,active,,,,,,,,,,,,,,,,,558.7716622999978,563.7711490000002,563.7711560999996,563.7875486999983,571.7709690999982,571.7709690999982,574.7376761999985,574.7710160999995,574.7710160999995,574.7545224999994,4.08,4.72,408,472,8,1.2,0.75,pic-present,1,n,1.4264580000017304,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,574.7710160999995,,,,,,,,,,,,,,0,inactive,,,,,,,,,,,,,,,,,574.754993999999,579.7544519000003,579.7544596999978,579.7709254000001,587.7543984999975,587.7543984999975,590.7210917999982,590.7544347999974,590.7544347999974,590.7379438999997,4.29,4.51,429,451,8,1.2,0.75,pic-absent,0,m,0.6310131999998703,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,590.7544347999974,,,,,,,,,,,,,,1,active,,,,,,,,,,,,,,,,,590.7384085999984,595.7379822000003,595.7379896999992,595.7545068,603.7379466999992,603.7379466999992,606.7046021999995,606.7379330999975,606.7379330999975,606.7215075999993,4.43,4.37,443,437,8,1.2,0.75,pic-absent,0,m,0.5450712999991083,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,0,0,0,0,,,,,610.0213047999969,,,,,,606.7220345999995,610.0049500999994,,,,,,,2,active,47.3,627.0053160999996,629.3903598999968,58.00000000000008,2.366,,,,610.0052875999972,615.0048513000002,615.0048588999998,615.0214115999988,627.0053076999975,627.0381433999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,1,0,1,0,,,,,629.4048997999998,,,,,,,,,,,,,,3,inactive,47.3,646.3888814999991,648.2080589999969,62.00000000000003,1.742,,,,629.3912237999975,634.3883834999979,634.3883905999974,634.4048833999987,646.3888737999987,646.4717227999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,650.3383885999974,,,,,,,,,,,,,,0,active,,,,,,,,,,,,,,,648.2084227999985,650.3219708999968,650.3222699999969,655.3219694999971,655.3219763999987,655.3384060999997,663.321898299997,663.321898299997,666.2885503999969,666.3218522999996,666.3218522999996,666.305361499999,3.3,5.5,330,550,8,1.2,0.75,pic-present,0,m,0.48744019999867305,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,,,,,1,0,1,0,666.3218522999996,,,,,,,,,,,,,,1,inactive,,,,,,,,,,,,,,,,,666.3059163999969,671.3053911999996,671.3053985999977,671.321935699998,679.3053876999984,679.3053876999984,682.2720517999987,682.3053830999997,682.3053830999997,682.2888919999968,4.49,4.31,449,430,8,1.2,0.75,pic-present,1,n,0.44828599999891594,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,,,,,2,0,2,0,682.3053830999997,,,,,,,,,,,,,,2,active,,,,,,,,,,,,,,,,,682.2893984000002,687.2888932999995,687.2889008999991,687.3054432999998,695.2889020999974,695.2889020999974,698.2555992999987,698.2889718999977,698.2889718999977,698.2724690999967,3.42,5.38,342,538,8,1.2,0.75,pic-absent,0,m,0.6412890999999945,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,1,0,1,0,,,,,3,0,3,0,698.2889718999977,,,,,,,,,,,,,,3,inactive,,,,,,,,,,,,,,,,,698.2729615999997,703.2724778999982,703.272487299997,703.2891223999977,711.2724028999983,711.2724028999983,714.2390100999983,714.2723735,714.2723735,714.2558582999991,3.99,4.81,399,480,8,1.2,0.75,pic-present,0,m,2.3850722999995924,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,2,0,2,0,0,0,0,0,,,,,719.0225178999972,,,,,,714.2563405999972,719.0061545999997,,,,,,,0,active,47.3,736.0064089999978,739.7078182999976,53.999999999999886,3.683,,,,719.0064860999992,724.0060301999983,724.0060374999994,724.0224856999994,736.0064007999972,736.0393254999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,2,0,2,0,1,0,1,0,,,,,739.7227413999972,,,,,,,,,,,,,,1,inactive,47.3,756.7066562999971,758.2750642999999,59.999999999999964,1.549,,,,739.7086380000001,744.7062021999991,744.7062093999994,744.7226792000001,756.7066483999988,756.7395346999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,761.439588899997,,,,,,,,,,,,,,2,active,,,,,,,,,,,,,,,758.2753317999995,761.4231957999982,761.4234946999968,766.4232153999983,766.4232228000001,766.439600499998,774.423052099999,774.423052099999,777.3897878999996,777.4231182999974,777.4231182999974,777.4067005999968,3.59,5.21,359,521,8,1.2,0.75,pic-absent,0,m,0.3865016999989166,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
0,0,0,0,,,,,2,0,2,0,,,,,1,0,1,0,777.4231182999974,,,,,,,,,,,,,,3,inactive,,,,,,,,,,,,,,,,,777.4072997999974,782.4066235999999,782.4066306999994,782.4231249999975,790.4066098999974,790.4066098999974,793.3732426999995,793.4065558999973,793.4065558999973,793.3901487999974,4.37,4.43,437,443,8,1.2,0.75,pic-absent,0,m,0.535103700000036,None,,,,,sub-021,47.3,45.7,48.1,COM3,2024-02-09_13h40.15.810,2024_RDpaindiscrimination_maintask,2023.2.3,59.99818805445658,2024-02-09 13h40.35.693963 -0500,
