,times,neutral,z1,z2,z3,z4,z5
0,0.12111210823059082,37.8,37.6,37.6,37.6,37.6,37.8
1,0.23273515701293945,37.8,37.6,37.6,37.6,37.6,37.8
2,0.34476542472839355,37.7,37.8,37.8,37.8,37.8,38.0
3,0.45690345764160156,37.7,38.7,38.7,38.7,38.8,39.1
4,0.5695264339447021,37.7,40.3,40.2,40.2,40.3,40.8
5,0.681483268737793,37.7,41.7,41.6,41.7,41.7,42.1
6,0.7931098937988281,37.6,43.0,42.9,42.9,43.0,43.4
7,0.9057328701019287,37.6,44.4,44.2,44.3,44.4,44.9
8,1.0173561573028564,37.5,45.8,45.6,45.6,45.8,46.3
9,1.1299824714660645,37.5,46.6,46.5,46.5,46.6,47.0
10,1.2411243915557861,37.4,46.6,46.5,46.6,46.6,47.0
11,1.3537487983703613,37.4,46.5,46.4,46.5,46.5,46.8
12,1.4662041664123535,37.4,46.6,46.5,46.5,46.6,46.9
13,1.577833890914917,37.4,46.6,46.5,46.6,46.6,46.9
14,1.6907765865325928,37.4,46.6,46.5,46.6,46.6,46.8
15,1.8024063110351562,37.4,46.6,46.6,46.6,46.6,46.9
16,1.9140329360961914,37.5,46.6,46.6,46.6,46.7,46.9
17,2.02665638923645,37.5,46.6,46.6,46.6,46.7,46.9
18,2.1382827758789062,37.5,46.6,46.6,46.6,46.7,46.9
19,2.249905824661255,37.5,46.7,46.6,46.6,46.7,46.9
20,2.362532377243042,37.5,46.7,46.6,46.6,46.7,46.9
21,2.4741594791412354,37.5,46.7,46.6,46.7,46.7,46.9
22,2.5867819786071777,37.5,46.7,46.6,46.7,46.7,46.9
23,2.698408365249634,37.5,46.7,46.6,46.7,46.7,46.9
24,2.8110320568084717,37.5,46.7,46.7,46.7,46.7,46.9
25,2.9226579666137695,37.5,46.7,46.7,46.7,46.7,46.9
26,3.0342814922332764,37.6,46.7,46.7,46.7,46.7,46.9
27,3.14642333984375,37.6,46.7,46.7,46.7,46.7,46.9
28,3.2590463161468506,37.6,46.7,46.7,46.7,46.7,46.9
29,3.3709938526153564,37.6,46.7,46.7,46.7,46.7,46.9
30,3.482617139816284,37.6,46.7,46.7,46.7,46.8,46.9
31,3.595243453979492,37.6,46.7,46.7,46.7,46.8,46.9
32,3.7068700790405273,37.6,46.7,46.7,46.7,46.8,46.9
33,3.819493055343628,37.6,46.7,46.7,46.7,46.8,46.9
34,3.931119918823242,37.6,46.7,46.7,46.7,46.8,46.9
35,4.043742895126343,37.6,46.7,46.7,46.7,46.8,46.9
36,4.155369520187378,37.6,46.7,46.7,46.7,46.8,46.9
