trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,tâche_EVA.stopped,thermode_locali_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,131.76395569974557,,0.012251599691808224,129.56418489990756,129.5645448998548,130.3474453999661,130.34745389968157,131.73088339995593,131.73118200013414,136.74734609993175,136.7473522000946,136.7639508000575,148.74746399978176,0,inactive,47.1,148.74770799977705,153.9991934997961,22.50000000000017,5.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,154.01423879992217,,,,,,,,154.0000149998814,158.99778149975464,158.99778789980337,159.01417970005423,170.99818329978734,1,inactive,47.1,170.9983259998262,174.91618910012767,41.5000000000001,3.899,171.03108049975708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,174.93111549969763,,,,,,,,174.91697999974713,179.91473060008138,179.91473690001294,179.93115349998698,191.91517159994692,2,active,45.5,191.915316300001,196.5511969998479,32.0000000000001,4.617,191.9480395996943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,196.56476010009646,,,,,,,,196.55200479971245,201.54833830008283,201.5483452999033,201.56482170009986,213.54869649978355,3,inactive,47.1,213.54884369997308,216.9174620998092,57.999999999999865,3.35,213.58160179993138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,216.93164680013433,,,,,,,,216.91829439997673,221.91521599981934,221.91522249998525,221.93171470006928,233.91560159996152,0,active,45.5,233.9157544998452,237.299868399743,12.500000000000002,3.365,233.9484799001366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,237.3152366997674,,,,,,,,237.30065280012786,242.29884639987722,242.29885299969465,242.31522300001234,254.2992802998051,1,active,45.5,254.29942800011486,258.7180510996841,22.0000000000001,4.4,254.3321465998888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,258.73221059981734,,,,,,,,258.7187983999029,263.71573149971664,263.7157382001169,263.732208899688,275.71622289996594,2,inactive,47.1,275.71636370010674,279.45080540003255,80.0,3.716,275.74905289988965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,279.4656946999021,,,,,,,,279.4515621997416,284.4493593997322,284.4493660000153,284.4658280997537,296.4497789000161,3,active,45.5,296.44992179982364,300.0513474997133,29.499999999999975,3.582,296.482676200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,300.0660680998117,,,,,,,,300.05163310002536,305.0496207000688,305.0496270000003,305.0661256997846,317.05012679984793,0,inactive,47.1,317.05026890011504,321.4844907000661,61.49999999999985,4.416,317.082932499703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,321.499662599992,,,,,,,,321.4852672996931,326.48322620010003,326.48323219968006,326.4997255997732,338.48366199992597,1,active,45.5,338.4838072997518,341.636179999914,22.5,3.133,338.51654019998387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
