,times,neutral,z1,z2,z3,z4,z5
0,0.11000323295593262,37.6,37.4,37.4,37.5,37.4,37.5
1,0.22200345993041992,37.6,37.4,37.4,37.5,37.4,37.5
2,0.3350033760070801,37.6,37.4,37.4,37.4,37.4,37.4
3,0.4470033645629883,37.6,37.5,37.5,37.6,37.6,37.6
4,0.5590035915374756,37.6,38.1,38.1,38.2,38.2,38.3
5,0.6700036525726318,37.5,38.8,38.8,38.9,38.8,38.9
6,0.7830033302307129,37.5,39.4,39.4,39.4,39.4,39.5
7,0.8940036296844482,37.5,39.9,39.9,40.0,40.0,40.1
8,1.0060036182403564,37.5,40.6,40.5,40.6,40.6,40.7
9,1.1190040111541748,37.5,41.1,41.1,41.2,41.1,41.2
10,1.2300035953521729,37.4,41.5,41.5,41.5,41.5,41.5
11,1.3435194492340088,37.4,41.5,41.5,41.5,41.5,41.5
12,1.4545202255249023,37.4,41.5,41.5,41.5,41.5,41.5
13,1.5665192604064941,37.4,41.5,41.5,41.5,41.5,41.5
14,1.6795191764831543,37.4,41.5,41.5,41.5,41.5,41.6
15,1.7905194759368896,37.4,41.5,41.5,41.5,41.5,41.6
16,1.9030640125274658,37.4,41.5,41.5,41.5,41.5,41.6
17,2.015064239501953,37.4,41.5,41.5,41.5,41.6,41.6
18,2.1273839473724365,37.4,41.5,41.6,41.5,41.6,41.6
19,2.2393839359283447,37.5,41.5,41.6,41.5,41.6,41.6
20,2.351383924484253,37.5,41.6,41.6,41.6,41.6,41.6
21,2.4633843898773193,37.5,41.6,41.6,41.6,41.6,41.6
22,2.5753843784332275,37.5,41.6,41.6,41.6,41.6,41.6
23,2.687385320663452,37.5,41.6,41.6,41.6,41.6,41.6
24,2.799384355545044,37.5,41.6,41.6,41.6,41.6,41.6
25,2.9113848209381104,37.5,41.6,41.6,41.6,41.6,41.6
26,3.0233845710754395,37.5,41.6,41.6,41.6,41.6,41.6
27,3.1353843212127686,37.5,41.6,41.6,41.6,41.6,41.6
28,3.247384548187256,37.5,41.6,41.6,41.6,41.6,41.6
29,3.359384536743164,37.5,41.6,41.6,41.6,41.6,41.6
30,3.4713845252990723,37.5,41.6,41.6,41.6,41.6,41.6
31,3.58389949798584,37.5,41.6,41.6,41.6,41.6,41.7
32,3.695899486541748,37.5,41.6,41.6,41.6,41.6,41.7
33,3.808239698410034,37.6,41.6,41.6,41.6,41.6,41.7
34,3.9202396869659424,37.6,41.6,41.6,41.6,41.6,41.7
35,4.03223991394043,37.6,41.6,41.6,41.6,41.6,41.7
36,4.144239664077759,37.6,41.6,41.6,41.6,41.6,41.7
37,4.256239652633667,37.6,41.6,41.6,41.6,41.6,41.7
38,4.368240833282471,37.6,41.6,41.6,41.6,41.6,41.7
39,4.4812397956848145,37.6,41.6,41.6,41.6,41.6,41.7
40,4.592239856719971,37.6,41.6,41.6,41.6,41.6,41.7
41,4.704240083694458,37.6,41.6,41.6,41.6,41.6,41.7
42,4.816240072250366,37.6,41.7,41.6,41.6,41.6,41.7
43,4.9282402992248535,37.6,41.7,41.6,41.6,41.6,41.7
44,5.040241003036499,37.6,41.7,41.6,41.6,41.6,41.7
45,5.153240203857422,37.6,41.7,41.6,41.6,41.6,41.7
46,5.264240026473999,37.6,41.7,41.6,41.6,41.7,41.7
47,5.376240015029907,37.6,41.7,41.6,41.6,41.7,41.7
48,5.488755702972412,37.6,41.7,41.6,41.6,41.7,41.7
49,5.60075569152832,37.6,41.7,41.6,41.6,41.7,41.7
50,5.713083744049072,37.6,41.7,41.6,41.6,41.7,41.7
51,5.8250837326049805,37.6,41.7,41.6,41.6,41.7,41.7
52,5.937083721160889,37.6,41.7,41.6,41.6,41.7,41.7
53,6.050080299377441,37.6,41.7,41.7,41.6,41.7,41.7
54,6.162084102630615,37.6,41.7,41.7,41.7,41.7,41.7
55,6.273083686828613,37.6,41.7,41.7,41.7,41.7,41.7
56,6.3860838413238525,37.6,41.7,41.7,41.7,41.7,41.7
57,6.497084140777588,37.6,41.7,41.7,41.7,41.7,41.7
58,6.609084367752075,37.6,41.7,41.7,41.7,41.7,41.7
59,6.722084045410156,37.6,41.7,41.7,41.7,41.7,41.7
60,6.833588600158691,37.6,41.7,41.7,41.7,41.7,41.7
61,6.945592164993286,37.6,41.7,41.7,41.7,41.7,41.7
62,7.058592319488525,37.6,41.7,41.7,41.7,41.7,41.7
63,7.169946670532227,37.6,41.7,41.7,41.7,41.7,41.7
64,7.281946420669556,37.6,41.7,41.7,41.7,41.7,41.7
65,7.393946409225464,37.6,41.7,41.7,41.7,41.7,41.7
66,7.50594687461853,37.6,41.7,41.7,41.7,41.7,41.7
67,7.6179468631744385,37.6,41.7,41.7,41.7,41.7,41.7
68,7.729946851730347,37.6,41.7,41.7,41.7,41.7,41.7
69,7.842946767807007,37.6,41.7,41.7,41.7,41.7,41.7
70,7.953946828842163,37.6,41.7,41.7,41.7,41.7,41.7
71,8.065946817398071,37.6,41.7,41.7,41.7,41.7,41.7
72,8.178461790084839,37.6,41.7,41.7,41.7,41.7,41.7
73,8.290461778640747,37.6,41.7,41.7,41.7,41.7,41.7
74,8.401782512664795,37.6,41.7,41.7,41.7,41.7,41.7
75,8.513782501220703,37.6,41.7,41.7,41.7,41.7,41.7
76,8.625782489776611,37.6,41.7,41.7,41.7,41.7,41.7
77,8.73878264427185,37.6,41.7,41.7,41.7,41.7,41.7
78,8.849782466888428,37.6,41.7,41.7,41.7,41.7,41.7
79,8.962782621383667,37.6,41.7,41.7,41.7,41.7,41.7
80,9.074782609939575,37.6,41.7,41.7,41.7,41.7,41.7
81,9.187782526016235,37.6,41.7,41.7,41.7,41.7,41.7
82,9.298782348632812,37.6,41.7,41.7,41.7,41.7,41.7
83,9.4107825756073,37.6,41.7,41.7,41.7,41.7,41.7
84,9.522782564163208,37.6,41.7,41.7,41.7,41.7,41.7
85,9.634782314300537,37.6,41.7,41.7,41.7,41.7,41.7
86,9.746782541275024,37.6,41.7,41.7,41.7,41.7,41.7
87,9.859782457351685,37.6,41.7,41.7,41.7,41.7,41.7
88,9.97078275680542,37.6,41.7,41.7,41.7,41.7,41.7
89,10.082782506942749,37.6,41.7,41.7,41.7,41.7,41.7
90,10.194782972335815,37.6,41.7,41.7,41.7,41.7,41.7
91,10.307782888412476,37.6,41.7,41.7,41.7,41.7,41.7
92,10.419298648834229,37.6,41.7,41.7,41.7,41.7,41.7
93,10.53129529953003,37.6,41.7,41.7,41.7,41.7,41.7
94,10.643298625946045,37.7,41.7,41.7,41.7,41.7,41.7
95,10.755298614501953,37.7,41.7,41.7,41.7,41.7,41.7
96,10.867298126220703,37.6,41.7,41.7,41.7,41.7,41.7
